,Instrument,Date,Time,Open,High,Low,Close
6141,NIFTY,2012-03-30 14:00:00,14:00,5269.9,5272.1,5269.4,5271.8
6142,NIFTY,2012-03-30 15:00:00,15:00,5282.1,5282.6,5281.2,5281.95
6143,NIFTY,2012-04-02 10:00:00,10:00,5308.4,5308.6,5305.05,5305.35
6144,NIFTY,2012-04-02 11:00:00,11:00,5298.9,5299.25,5298.15,5298.5
6145,NIFTY,2012-04-02 12:00:00,12:00,5302.9,5303.25,5301.25,5301.85
6146,NIFTY,2012-04-02 13:00:00,13:00,5316.95,5320.4,5316.9,5317.65
6147,NIFTY,2012-04-02 14:00:00,14:00,5325.9,5326.45,5324.5,5324.95
6148,NIFTY,2012-04-02 15:00:00,15:00,5318.65,5319.1,5317.8,5318.75
6149,NIFTY,2012-04-03 10:00:00,10:00,5357.8,5358.25,5355.75,5355.75
6150,NIFTY,2012-04-03 11:00:00,11:00,5364.15,5365.9,5364.15,5365.4
6151,NIFTY,2012-04-03 12:00:00,12:00,5357.45,5360.5,5357.35,5360.3
6152,NIFTY,2012-04-03 13:00:00,13:00,5358.8,5359.65,5357.95,5359.65
6153,NIFTY,2012-04-03 14:00:00,14:00,5369.8,5373.2,5369.35,5373.2
6154,NIFTY,2012-04-03 15:00:00,15:00,5359.05,5360.45,5357.85,5360.35
6155,NIFTY,2012-04-04 10:00:00,10:00,5329.05,5330.3,5327.35,5329.5
6156,NIFTY,2012-04-04 11:00:00,11:00,5322.95,5323.05,5320.8,5321.55
6157,NIFTY,2012-04-04 12:00:00,12:00,5327.6,5328.45,5326.8,5328.25
6158,NIFTY,2012-04-04 13:00:00,13:00,5320.5,5321.1,5319.0,5319.4
6159,NIFTY,2012-04-04 14:00:00,14:00,5324.85,5325.1,5323.75,5324.05
6160,NIFTY,2012-04-04 15:00:00,15:00,5321.35,5322.95,5321.3,5322.85
6161,NIFTY,2012-04-09 10:00:00,10:00,5263.0,5263.4,5261.45,5262.65
6162,NIFTY,2012-04-09 11:00:00,11:00,5257.35,5257.95,5256.7,5257.85
6163,NIFTY,2012-04-09 12:00:00,12:00,5251.4,5253.1,5251.3,5252.9
6164,NIFTY,2012-04-09 13:00:00,13:00,5250.3,5250.4,5249.65,5250.05
6165,NIFTY,2012-04-09 14:00:00,14:00,5246.15,5246.15,5245.3,5246.0
6166,NIFTY,2012-04-09 15:00:00,15:00,5254.75,5255.65,5254.3,5254.6
6167,NIFTY,2012-04-10 10:00:00,10:00,5234.7,5239.15,5232.25,5238.7
6168,NIFTY,2012-04-10 11:00:00,11:00,5235.2,5236.15,5235.1,5236.0
6169,NIFTY,2012-04-10 12:00:00,12:00,5239.4,5239.75,5239.1,5239.75
6170,NIFTY,2012-04-10 13:00:00,13:00,5217.05,5218.25,5216.75,5218.15
6171,NIFTY,2012-04-10 14:00:00,14:00,5235.05,5239.45,5235.05,5239.45
6172,NIFTY,2012-04-10 15:00:00,15:00,5248.85,5249.9,5248.3,5249.7
6173,NIFTY,2012-04-11 10:00:00,10:00,5202.95,5205.7,5201.85,5205.35
6174,NIFTY,2012-04-11 11:00:00,11:00,5211.35,5212.35,5211.0,5212.35
6175,NIFTY,2012-04-11 12:00:00,12:00,5199.8,5200.6,5199.2,5200.25
6176,NIFTY,2012-04-11 13:00:00,13:00,5226.55,5227.15,5226.4,5227.1
6177,NIFTY,2012-04-11 14:00:00,14:00,5247.05,5247.55,5245.3,5246.75
6178,NIFTY,2012-04-11 15:00:00,15:00,5215.05,5216.55,5212.65,5216.4
6179,NIFTY,2012-04-12 10:00:00,10:00,5262.7,5262.85,5261.3,5261.35
6180,NIFTY,2012-04-12 11:00:00,11:00,5281.5,5281.5,5279.45,5279.7
6181,NIFTY,2012-04-12 12:00:00,12:00,5288.95,5289.2,5286.0,5287.6
6182,NIFTY,2012-04-12 13:00:00,13:00,5277.35,5278.95,5277.25,5278.7
6183,NIFTY,2012-04-12 14:00:00,14:00,5281.15,5283.8,5281.15,5283.8
6184,NIFTY,2012-04-12 15:00:00,15:00,5274.95,5277.9,5274.9,5276.9
6185,NIFTY,2012-04-13 10:00:00,10:00,5289.5,5291.35,5289.5,5290.15
